SpanID: b1eee77e2005241a, SpanName: http:/preserveother, SpanKind: SERVER, Timestamp:1694156646987000, SpanDuration: 2277.328ms
--SpanID: e10f91ff41a8dfa8, SpanName: http:/verifylogintoken/1a367212-acc2-436f-9394-8a9, SpanKind: CLIENT, Timestamp:1694156647067000, SpanDuration: 24.0ms
--SpanID: e10f91ff41a8dfa8, SpanName: http:/verifylogintoken/1a367212-acc2-436f-9394-8a9, SpanKind: SERVER, Timestamp:1694156647079000, SpanDuration: 6.0ms
--SpanID: f0c6024a52d5b0b3, SpanName: http:/security/checkinonehour, SpanKind: CLIENT, Timestamp:1694156647119000, SpanDuration: 384.0ms
----SpanID: d149da5969897447, SpanName: http:/getorderinfoforsecurity, SpanKind: CLIENT, Timestamp:1694156647289000, SpanDuration: 170.0ms
----SpanID: d149da5969897447, SpanName: http:/getorderinfoforsecurity, SpanKind: SERVER, Timestamp:1694156647368000, SpanDuration: 88.0ms
----SpanID: 810b26adc085b52b, SpanName: http:/getorderotherinfoforsecurity, SpanKind: CLIENT, Timestamp:1694156647472000, SpanDuration: 10.0ms
----SpanID: 810b26adc085b52b, SpanName: http:/getorderotherinfoforsecurity, SpanKind: SERVER, Timestamp:1694156647474000, SpanDuration: 7.0ms
--SpanID: f0c6024a52d5b0b3, SpanName: http:/security/checkinonehour, SpanKind: SERVER, Timestamp:1694156647195000, SpanDuration: 306.0ms
----SpanID: d149da5969897447, SpanName: http:/getorderinfoforsecurity, SpanKind: CLIENT, Timestamp:1694156647289000, SpanDuration: 170.0ms
----SpanID: d149da5969897447, SpanName: http:/getorderinfoforsecurity, SpanKind: SERVER, Timestamp:1694156647368000, SpanDuration: 88.0ms
----SpanID: 810b26adc085b52b, SpanName: http:/getorderotherinfoforsecurity, SpanKind: CLIENT, Timestamp:1694156647472000, SpanDuration: 10.0ms
----SpanID: 810b26adc085b52b, SpanName: http:/getorderotherinfoforsecurity, SpanKind: SERVER, Timestamp:1694156647474000, SpanDuration: 7.0ms
--SpanID: 8e6f75bb5381eecf, SpanName: http:/contacts/countcontacts/4d2a46c7-71cb-4cf1-b5, SpanKind: CLIENT, Timestamp:1694156647508000, SpanDuration: 16.0ms
--SpanID: 8e6f75bb5381eecf, SpanName: http:/contacts/countcontacts/4d2a46c7-71cb-4cf1-b5, SpanKind: SERVER, Timestamp:1694156647511000, SpanDuration: 8.0ms
--SpanID: e9bf8f37278c89c0, SpanName: http:/contacts/createwithoutcheck/4d2a46c7-71cb-4c, SpanKind: CLIENT, Timestamp:1694156647531000, SpanDuration: 70.0ms
--SpanID: e9bf8f37278c89c0, SpanName: http:/contacts/createwithoutcheck/4d2a46c7-71cb-4c, SpanKind: SERVER, Timestamp:1694156647534000, SpanDuration: 66.0ms
--SpanID: 2daa8334c9c82275, SpanName: http:/travel2/gettripalldetailinfo/, SpanKind: CLIENT, Timestamp:1694156647617000, SpanDuration: 407.0ms
----SpanID: d9e87af72a2a5dd6, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694156647625000, SpanDuration: 22.0ms
------SpanID: 26f30548989114bf, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694156647633000, SpanDuration: 12.0ms
--------SpanID: 3ecb12cdb4d551eb, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694156647637000, SpanDuration: 7.0ms
--------SpanID: 3ecb12cdb4d551eb, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694156647639000, SpanDuration: 4.0ms
------SpanID: 26f30548989114bf, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694156647635000, SpanDuration: 10.0ms
--------SpanID: 3ecb12cdb4d551eb, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694156647637000, SpanDuration: 7.0ms
--------SpanID: 3ecb12cdb4d551eb, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694156647639000, SpanDuration: 4.0ms
----SpanID: d9e87af72a2a5dd6, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1694156647631000, SpanDuration: 15.0ms
------SpanID: 26f30548989114bf, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694156647633000, SpanDuration: 12.0ms
--------SpanID: 3ecb12cdb4d551eb, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694156647637000, SpanDuration: 7.0ms
--------SpanID: 3ecb12cdb4d551eb, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694156647639000, SpanDuration: 4.0ms
------SpanID: 26f30548989114bf, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694156647635000, SpanDuration: 10.0ms
--------SpanID: 3ecb12cdb4d551eb, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694156647637000, SpanDuration: 7.0ms
--------SpanID: 3ecb12cdb4d551eb, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694156647639000, SpanDuration: 4.0ms
----SpanID: 556ecdd08eebaf29, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694156647648000, SpanDuration: 17.0ms
------SpanID: 5742078077bbf1f4, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694156647652000, SpanDuration: 12.0ms
--------SpanID: d73a29aea4430f13, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694156647655000, SpanDuration: 7.0ms
--------SpanID: d73a29aea4430f13, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694156647658000, SpanDuration: 4.0ms
------SpanID: 5742078077bbf1f4, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694156647654000, SpanDuration: 9.0ms
--------SpanID: d73a29aea4430f13, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694156647655000, SpanDuration: 7.0ms
--------SpanID: d73a29aea4430f13, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694156647658000, SpanDuration: 4.0ms
----SpanID: 556ecdd08eebaf29, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1694156647650000, SpanDuration: 15.0ms
------SpanID: 5742078077bbf1f4, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694156647652000, SpanDuration: 12.0ms
--------SpanID: d73a29aea4430f13, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694156647655000, SpanDuration: 7.0ms
--------SpanID: d73a29aea4430f13, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694156647658000, SpanDuration: 4.0ms
------SpanID: 5742078077bbf1f4, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694156647654000, SpanDuration: 9.0ms
--------SpanID: d73a29aea4430f13, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694156647655000, SpanDuration: 7.0ms
--------SpanID: d73a29aea4430f13, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694156647658000, SpanDuration: 4.0ms
----SpanID: 874ceb6ecf9c64ae, SpanName: http:/route/querybyid/20eb7122-3a11-423f-b10a-be0d, SpanKind: CLIENT, Timestamp:1694156647666000, SpanDuration: 7.0ms
----SpanID: 874ceb6ecf9c64ae, SpanName: http:/route/querybyid/20eb7122-3a11-423f-b10a-be0d, SpanKind: SERVER, Timestamp:1694156647667000, SpanDuration: 5.0ms
----SpanID: 5134dc03d986408c, SpanName: http:/ticketinfo/queryfortravel, SpanKind: CLIENT, Timestamp:1694156647674000, SpanDuration: 72.0ms
------SpanID: b97ce0d7769921d6, SpanName: http:/basic/queryfortravel, SpanKind: CLIENT, Timestamp:1694156647678000, SpanDuration: 66.0ms
--------SpanID: ff1585f969dee436, SpanName: http:/station/exist, SpanKind: CLIENT, Timestamp:1694156647683000, SpanDuration: 6.0ms
--------SpanID: ff1585f969dee436, SpanName: http:/station/exist, SpanKind: SERVER, Timestamp:1694156647685000, SpanDuration: 3.0ms
--------SpanID: 7c853073cbf4d5e6, SpanName: http:/station/exist, SpanKind: CLIENT, Timestamp:1694156647690000, SpanDuration: 6.0ms
--------SpanID: 7c853073cbf4d5e6, SpanName: http:/station/exist, SpanKind: SERVER, Timestamp:1694156647692000, SpanDuration: 3.0ms
--------SpanID: 073a7690e2cfb4bb, SpanName: http:/train/retrieve, SpanKind: CLIENT, Timestamp:1694156647697000, SpanDuration: 7.0ms
--------SpanID: 073a7690e2cfb4bb, SpanName: http:/train/retrieve, SpanKind: SERVER, Timestamp:1694156647698000, SpanDuration: 5.0ms
--------SpanID: 70ec00aa253fa674, SpanName: http:/route/querybyid/20eb7122-3a11-423f-b10a-be0d, SpanKind: CLIENT, Timestamp:1694156647705000, SpanDuration: 6.0ms
--------SpanID: 70ec00aa253fa674, SpanName: http:/route/querybyid/20eb7122-3a11-423f-b10a-be0d, SpanKind: SERVER, Timestamp:1694156647706000, SpanDuration: 5.0ms
--------SpanID: 5bf544b1eccfc49c, SpanName: http:/price/query, SpanKind: CLIENT, Timestamp:1694156647712000, SpanDuration: 10.0ms
--------SpanID: 5bf544b1eccfc49c, SpanName: http:/price/query, SpanKind: SERVER, Timestamp:1694156647713000, SpanDuration: 6.0ms
--------SpanID: 6173a0907d82c0c8, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694156647722000, SpanDuration: 6.0ms
--------SpanID: 6173a0907d82c0c8, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694156647724000, SpanDuration: 4.0ms
--------SpanID: ead97f797f085195, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694156647729000, SpanDuration: 5.0ms
--------SpanID: ead97f797f085195, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694156647731000, SpanDuration: 3.0ms
------SpanID: b97ce0d7769921d6, SpanName: http:/basic/queryfortravel, SpanKind: SERVER, Timestamp:1694156647680000, SpanDuration: 63.0ms
