SpanID: 636384c770a57cca, SpanName: http:/preserveother, SpanKind: SERVER, Timestamp:1694154349848000, SpanDuration: 2580.051ms
--SpanID: 086e47acea14217e, SpanName: http:/verifylogintoken/e7e2ee79-7164-45ed-96d4-92f, SpanKind: CLIENT, Timestamp:1694154349919000, SpanDuration: 18.0ms
--SpanID: 086e47acea14217e, SpanName: http:/verifylogintoken/e7e2ee79-7164-45ed-96d4-92f, SpanKind: SERVER, Timestamp:1694154349930000, SpanDuration: 4.0ms
--SpanID: 60a0fd639e32b1ef, SpanName: http:/security/checkinonehour, SpanKind: CLIENT, Timestamp:1694154349971000, SpanDuration: 419.0ms
----SpanID: 30c160e40f105632, SpanName: http:/getorderinfoforsecurity, SpanKind: CLIENT, Timestamp:1694154350138000, SpanDuration: 202.0ms
----SpanID: 30c160e40f105632, SpanName: http:/getorderinfoforsecurity, SpanKind: SERVER, Timestamp:1694154350231000, SpanDuration: 111.0ms
----SpanID: 8acbad2fe42cb10b, SpanName: http:/getorderotherinfoforsecurity, SpanKind: CLIENT, Timestamp:1694154350357000, SpanDuration: 11.0ms
----SpanID: 8acbad2fe42cb10b, SpanName: http:/getorderotherinfoforsecurity, SpanKind: SERVER, Timestamp:1694154350360000, SpanDuration: 7.0ms
--SpanID: 60a0fd639e32b1ef, SpanName: http:/security/checkinonehour, SpanKind: SERVER, Timestamp:1694154350041000, SpanDuration: 347.0ms
----SpanID: 30c160e40f105632, SpanName: http:/getorderinfoforsecurity, SpanKind: CLIENT, Timestamp:1694154350138000, SpanDuration: 202.0ms
----SpanID: 30c160e40f105632, SpanName: http:/getorderinfoforsecurity, SpanKind: SERVER, Timestamp:1694154350231000, SpanDuration: 111.0ms
----SpanID: 8acbad2fe42cb10b, SpanName: http:/getorderotherinfoforsecurity, SpanKind: CLIENT, Timestamp:1694154350357000, SpanDuration: 11.0ms
----SpanID: 8acbad2fe42cb10b, SpanName: http:/getorderotherinfoforsecurity, SpanKind: SERVER, Timestamp:1694154350360000, SpanDuration: 7.0ms
--SpanID: 6b9c6abbeee93741, SpanName: http:/contacts/countcontacts/4d2a46c7-71cb-4cf1-b5, SpanKind: CLIENT, Timestamp:1694154350394000, SpanDuration: 20.0ms
--SpanID: 6b9c6abbeee93741, SpanName: http:/contacts/countcontacts/4d2a46c7-71cb-4cf1-b5, SpanKind: SERVER, Timestamp:1694154350397000, SpanDuration: 10.0ms
--SpanID: e402beee31fb9c99, SpanName: http:/contacts/createwithoutcheck/4d2a46c7-71cb-4c, SpanKind: CLIENT, Timestamp:1694154350421000, SpanDuration: 56.0ms
--SpanID: e402beee31fb9c99, SpanName: http:/contacts/createwithoutcheck/4d2a46c7-71cb-4c, SpanKind: SERVER, Timestamp:1694154350423000, SpanDuration: 53.0ms
--SpanID: e5288b9098b8f04f, SpanName: http:/travel2/gettripalldetailinfo/, SpanKind: CLIENT, Timestamp:1694154350488000, SpanDuration: 358.0ms
----SpanID: 444f2b6381f21287, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694154350496000, SpanDuration: 17.0ms
------SpanID: 34cdca4adc35d2da, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694154350500000, SpanDuration: 11.0ms
--------SpanID: 27bb5240267db423, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694154350503000, SpanDuration: 6.0ms
--------SpanID: 27bb5240267db423, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694154350505000, SpanDuration: 3.0ms
------SpanID: 34cdca4adc35d2da, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694154350501000, SpanDuration: 9.0ms
--------SpanID: 27bb5240267db423, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694154350503000, SpanDuration: 6.0ms
--------SpanID: 27bb5240267db423, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694154350505000, SpanDuration: 3.0ms
----SpanID: 444f2b6381f21287, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1694154350498000, SpanDuration: 14.0ms
------SpanID: 34cdca4adc35d2da, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694154350500000, SpanDuration: 11.0ms
--------SpanID: 27bb5240267db423, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694154350503000, SpanDuration: 6.0ms
--------SpanID: 27bb5240267db423, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694154350505000, SpanDuration: 3.0ms
------SpanID: 34cdca4adc35d2da, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694154350501000, SpanDuration: 9.0ms
--------SpanID: 27bb5240267db423, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694154350503000, SpanDuration: 6.0ms
--------SpanID: 27bb5240267db423, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694154350505000, SpanDuration: 3.0ms
----SpanID: c57dd9c850ac0672, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694154350514000, SpanDuration: 20.0ms
------SpanID: 779f263075c60520, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694154350517000, SpanDuration: 15.0ms
