SpanID: b013688adfcc349e, SpanName: http:/travel/query, SpanKind: SERVER, Timestamp:1694586641612000, SpanDuration: 1437.108ms
--SpanID: 390539090ea579e1, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694586641617000, SpanDuration: 31.0ms
----SpanID: 9b48d16912d572bd, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694586641617000, SpanDuration: 30.0ms
----SpanID: 4404d2cdf618a3fa, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694586641625000, SpanDuration: 20.0ms
------SpanID: 3324e1ef44e37da4, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694586641625000, SpanDuration: 20.0ms
------SpanID: b5a22165b63d7f13, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694586641630000, SpanDuration: 13.0ms
--------SpanID: d14e4e1cefcc5817, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694586641630000, SpanDuration: 12.0ms
------SpanID: b5a22165b63d7f13, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694586641636000, SpanDuration: 7.221ms
--------SpanID: d14e4e1cefcc5817, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694586641630000, SpanDuration: 12.0ms
----SpanID: 4404d2cdf618a3fa, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694586641628000, SpanDuration: 16.79ms
------SpanID: 3324e1ef44e37da4, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694586641625000, SpanDuration: 20.0ms
------SpanID: b5a22165b63d7f13, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694586641630000, SpanDuration: 13.0ms
--------SpanID: d14e4e1cefcc5817, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694586641630000, SpanDuration: 12.0ms
------SpanID: b5a22165b63d7f13, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694586641636000, SpanDuration: 7.221ms
--------SpanID: d14e4e1cefcc5817, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694586641630000, SpanDuration: 12.0ms
--SpanID: 390539090ea579e1, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1694586641620000, SpanDuration: 26.293ms
----SpanID: 9b48d16912d572bd, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694586641617000, SpanDuration: 30.0ms
----SpanID: 4404d2cdf618a3fa, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694586641625000, SpanDuration: 20.0ms
------SpanID: 3324e1ef44e37da4, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694586641625000, SpanDuration: 20.0ms
------SpanID: b5a22165b63d7f13, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694586641630000, SpanDuration: 13.0ms
--------SpanID: d14e4e1cefcc5817, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694586641630000, SpanDuration: 12.0ms
------SpanID: b5a22165b63d7f13, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694586641636000, SpanDuration: 7.221ms
--------SpanID: d14e4e1cefcc5817, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694586641630000, SpanDuration: 12.0ms
----SpanID: 4404d2cdf618a3fa, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694586641628000, SpanDuration: 16.79ms
------SpanID: 3324e1ef44e37da4, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694586641625000, SpanDuration: 20.0ms
------SpanID: b5a22165b63d7f13, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694586641630000, SpanDuration: 13.0ms
--------SpanID: d14e4e1cefcc5817, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694586641630000, SpanDuration: 12.0ms
------SpanID: b5a22165b63d7f13, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694586641636000, SpanDuration: 7.221ms
--------SpanID: d14e4e1cefcc5817, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694586641630000, SpanDuration: 12.0ms
--SpanID: dd42579954927b5b, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694586641648000, SpanDuration: 31.0ms
----SpanID: fdc588a63cbc15be, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694586641648000, SpanDuration: 31.0ms
----SpanID: 723304710310f95e, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694586641658000, SpanDuration: 18.0ms
