SpanID: 34163a3b547cccb6, SpanName: http:/food/getfood, SpanKind: SERVER, Timestamp:1694755178294000, SpanDuration: 5116.225ms
--SpanID: 4bece02aaeaffc08, SpanName: http:/foodmap/gettrainfoodoftrip, SpanKind: CLIENT, Timestamp:1694755178422000, SpanDuration: 374.0ms
--SpanID: 4bece02aaeaffc08, SpanName: http:/foodmap/gettrainfoodoftrip, SpanKind: SERVER, Timestamp:1694755178574000, SpanDuration: 216.0ms
--SpanID: 24474294df7e965f, SpanName: http:/travel/getroutebytripid/z1234, SpanKind: CLIENT, Timestamp:1694755182989000, SpanDuration: 17.0ms
--SpanID: 24474294df7e965f, SpanName: http:/travel/getroutebytripid/z1234, SpanKind: SERVER, Timestamp:1694755182992000, SpanDuration: 13.0ms
--SpanID: b7f00332c2a4845f, SpanName: http:/travel2/getroutebytripid/z1234, SpanKind: CLIENT, Timestamp:1694755183007000, SpanDuration: 20.0ms
----SpanID: 427988f773758669, SpanName: http:/route/querybyid/0b23bd3e-876a-4af3-b920-c50a, SpanKind: CLIENT, Timestamp:1694755183012000, SpanDuration: 10.0ms
----SpanID: 427988f773758669, SpanName: http:/route/querybyid/0b23bd3e-876a-4af3-b920-c50a, SpanKind: SERVER, Timestamp:1694755183014000, SpanDuration: 7.0ms
--SpanID: b7f00332c2a4845f, SpanName: http:/travel2/getroutebytripid/z1234, SpanKind: SERVER, Timestamp:1694755183009000, SpanDuration: 14.0ms
----SpanID: 427988f773758669, SpanName: http:/route/querybyid/0b23bd3e-876a-4af3-b920-c50a, SpanKind: CLIENT, Timestamp:1694755183012000, SpanDuration: 10.0ms
----SpanID: 427988f773758669, SpanName: http:/route/querybyid/0b23bd3e-876a-4af3-b920-c50a, SpanKind: SERVER, Timestamp:1694755183014000, SpanDuration: 7.0ms
--SpanID: 222868e2f08c85d3, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694755183028000, SpanDuration: 6.0ms
--SpanID: 222868e2f08c85d3, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694755183030000, SpanDuration: 3.0ms
--SpanID: c42e66e64fe897de, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694755183037000, SpanDuration: 7.0ms
--SpanID: c42e66e64fe897de, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694755183040000, SpanDuration: 3.0ms
--SpanID: 4b4a029d610de46a, SpanName: http:/foodmap/getfoodstoresofstation, SpanKind: CLIENT, Timestamp:1694755183048000, SpanDuration: 34.0ms
--SpanID: 4b4a029d610de46a, SpanName: http:/foodmap/getfoodstoresofstation, SpanKind: SERVER, Timestamp:1694755183051000, SpanDuration: 30.0ms
--SpanID: 6af15c84e74033f6, SpanName: http:/foodmap/getfoodstoresofstation, SpanKind: CLIENT, Timestamp:1694755183084000, SpanDuration: 8.0ms
--SpanID: 6af15c84e74033f6, SpanName: http:/foodmap/getfoodstoresofstation, SpanKind: SERVER, Timestamp:1694755183085000, SpanDuration: 6.0ms
--SpanID: 147662878cb1a32c, SpanName: http:/foodmap/getfoodstoresofstation, SpanKind: CLIENT, Timestamp:1694755183093000, SpanDuration: 9.0ms
--SpanID: 147662878cb1a32c, SpanName: http:/foodmap/getfoodstoresofstation, SpanKind: SERVER, Timestamp:1694755183094000, SpanDuration: 7.0ms
--SpanID: 2da7f4db2477ffe5, SpanName: http:/foodmap/getfoodstoresofstation, SpanKind: CLIENT, Timestamp:1694755183104000, SpanDuration: 6.0ms
--SpanID: 2da7f4db2477ffe5, SpanName: http:/foodmap/getfoodstoresofstation, SpanKind: SERVER, Timestamp:1694755183105000, SpanDuration: 4.0ms
==================================
SpanID: 9deaa6cf5855b272, SpanName: http:/contacts/findcontacts, SpanKind: SERVER, Timestamp:1694755178004000, SpanDuration: 171.138ms
--SpanID: 65385893249cb8cf, SpanName: http:/verifylogintoken/6456f70e-b664-402d-8b20-ce7, SpanKind: CLIENT, Timestamp:1694755178079000, SpanDuration: 32.0ms
--SpanID: 65385893249cb8cf, SpanName: http:/verifylogintoken/6456f70e-b664-402d-8b20-ce7, SpanKind: SERVER, Timestamp:1694755178087000, SpanDuration: 12.0ms
==================================
SpanID: 459b08c0c2696ab9, SpanName: http:/travel2/query, SpanKind: SERVER, Timestamp:1694755141336000, SpanDuration: 24351.423ms
--SpanID: 4dba1790e86e9ab5, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694755141434000, SpanDuration: 13474.0ms
----SpanID: 034f54b3c483ef53, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694755141619000, SpanDuration: 13266.0ms
------SpanID: 83fedbedb9103955, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694755143096000, SpanDuration: 168.0ms
------SpanID: 83fedbedb9103955, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694755143177000, SpanDuration: 83.0ms
----SpanID: 034f54b3c483ef53, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694755142844000, SpanDuration: 12034.0ms
------SpanID: 83fedbedb9103955, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694755143096000, SpanDuration: 168.0ms
------SpanID: 83fedbedb9103955, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694755143177000, SpanDuration: 83.0ms
