SpanID: 8aab034f35063885, SpanName: http:/food/getfood, SpanKind: SERVER, Timestamp:1694756084622000, SpanDuration: 387.127ms
--SpanID: c43e384137f3d261, SpanName: http:/foodmap/gettrainfoodoftrip, SpanKind: CLIENT, Timestamp:1694756084716000, SpanDuration: 168.0ms
--SpanID: c43e384137f3d261, SpanName: http:/foodmap/gettrainfoodoftrip, SpanKind: SERVER, Timestamp:1694756084789000, SpanDuration: 90.0ms
--SpanID: e6d571bae23f253c, SpanName: http:/travel/getroutebytripid/d1345, SpanKind: CLIENT, Timestamp:1694756084905000, SpanDuration: 14.0ms
----SpanID: 83b50ed0a38c5bc1, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: CLIENT, Timestamp:1694756084911000, SpanDuration: 6.0ms
----SpanID: 83b50ed0a38c5bc1, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: SERVER, Timestamp:1694756084912000, SpanDuration: 4.0ms
--SpanID: e6d571bae23f253c, SpanName: http:/travel/getroutebytripid/d1345, SpanKind: SERVER, Timestamp:1694756084907000, SpanDuration: 11.0ms
----SpanID: 83b50ed0a38c5bc1, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: CLIENT, Timestamp:1694756084911000, SpanDuration: 6.0ms
----SpanID: 83b50ed0a38c5bc1, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: SERVER, Timestamp:1694756084912000, SpanDuration: 4.0ms
--SpanID: 95f62807d7e881da, SpanName: http:/travel2/getroutebytripid/d1345, SpanKind: CLIENT, Timestamp:1694756084921000, SpanDuration: 15.0ms
--SpanID: 95f62807d7e881da, SpanName: http:/travel2/getroutebytripid/d1345, SpanKind: SERVER, Timestamp:1694756084923000, SpanDuration: 12.0ms
--SpanID: ab2d4ae54922af5f, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694756084938000, SpanDuration: 8.0ms
--SpanID: ab2d4ae54922af5f, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694756084940000, SpanDuration: 3.0ms
--SpanID: 7be1c46fa1dc1b6b, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694756084947000, SpanDuration: 7.0ms
--SpanID: 7be1c46fa1dc1b6b, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694756084950000, SpanDuration: 4.0ms
--SpanID: 3d957a14fec0fcfc, SpanName: http:/foodmap/getfoodstoresofstation, SpanKind: CLIENT, Timestamp:1694756084962000, SpanDuration: 12.0ms
--SpanID: 3d957a14fec0fcfc, SpanName: http:/foodmap/getfoodstoresofstation, SpanKind: SERVER, Timestamp:1694756084964000, SpanDuration: 9.0ms
--SpanID: 5943dc3973b43f2b, SpanName: http:/foodmap/getfoodstoresofstation, SpanKind: CLIENT, Timestamp:1694756084975000, SpanDuration: 15.0ms
--SpanID: 5943dc3973b43f2b, SpanName: http:/foodmap/getfoodstoresofstation, SpanKind: SERVER, Timestamp:1694756084977000, SpanDuration: 12.0ms
==================================
SpanID: 97b51234e449f248, SpanName: http:/contacts/findcontacts, SpanKind: SERVER, Timestamp:1694756084615000, SpanDuration: 152.265ms
--SpanID: 6257317babfff453, SpanName: http:/verifylogintoken/395e59cc-d0f3-472c-9cdd-b8a, SpanKind: CLIENT, Timestamp:1694756084676000, SpanDuration: 30.0ms
--SpanID: 6257317babfff453, SpanName: http:/verifylogintoken/395e59cc-d0f3-472c-9cdd-b8a, SpanKind: SERVER, Timestamp:1694756084684000, SpanDuration: 9.0ms
==================================
SpanID: e023d9369c469723, SpanName: http:/travel/query, SpanKind: SERVER, Timestamp:1694756080828000, SpanDuration: 2234.01ms
--SpanID: 85eca6c9279b6951, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694756080937000, SpanDuration: 530.0ms
----SpanID: 80349c7fa0277f59, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694756081072000, SpanDuration: 373.0ms
------SpanID: 90a22f0ecb1b788e, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694756081240000, SpanDuration: 182.0ms
------SpanID: 90a22f0ecb1b788e, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694756081324000, SpanDuration: 92.0ms
----SpanID: 80349c7fa0277f59, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694756081160000, SpanDuration: 279.0ms
------SpanID: 90a22f0ecb1b788e, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694756081240000, SpanDuration: 182.0ms
------SpanID: 90a22f0ecb1b788e, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694756081324000, SpanDuration: 92.0ms
--SpanID: 85eca6c9279b6951, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1694756080991000, SpanDuration: 471.0ms
----SpanID: 80349c7fa0277f59, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694756081072000, SpanDuration: 373.0ms
------SpanID: 90a22f0ecb1b788e, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694756081240000, SpanDuration: 182.0ms
------SpanID: 90a22f0ecb1b788e, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694756081324000, SpanDuration: 92.0ms
----SpanID: 80349c7fa0277f59, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694756081160000, SpanDuration: 279.0ms
------SpanID: 90a22f0ecb1b788e, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694756081240000, SpanDuration: 182.0ms
------SpanID: 90a22f0ecb1b788e, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694756081324000, SpanDuration: 92.0ms
--SpanID: 52a2877f247de52a, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1694756081480000, SpanDuration: 26.0ms
----SpanID: 13189baf0a6b18f3, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694756081486000, SpanDuration: 17.0ms
------SpanID: c5b61cbef3d57aca, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694756081492000, SpanDuration: 8.0ms
------SpanID: c5b61cbef3d57aca, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694756081496000, SpanDuration: 5.0ms
----SpanID: 13189baf0a6b18f3, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694756081489000, SpanDuration: 14.0ms
------SpanID: c5b61cbef3d57aca, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694756081492000, SpanDuration: 8.0ms
------SpanID: c5b61cbef3d57aca, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694756081496000, SpanDuration: 5.0ms
--SpanID: 52a2877f247de52a, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1694756081483000, SpanDuration: 23.0ms
----SpanID: 13189baf0a6b18f3, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1694756081486000, SpanDuration: 17.0ms
------SpanID: c5b61cbef3d57aca, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694756081492000, SpanDuration: 8.0ms
------SpanID: c5b61cbef3d57aca, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694756081496000, SpanDuration: 5.0ms
----SpanID: 13189baf0a6b18f3, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1694756081489000, SpanDuration: 14.0ms
------SpanID: c5b61cbef3d57aca, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694756081492000, SpanDuration: 8.0ms
------SpanID: c5b61cbef3d57aca, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694756081496000, SpanDuration: 5.0ms
--SpanID: 5cecfaaaea3c4cdd, SpanName: http:/route/querybyid/92708982-77af-4318-be25-57cc, SpanKind: CLIENT, Timestamp:1694756081525000, SpanDuration: 140.0ms
--SpanID: 5cecfaaaea3c4cdd, SpanName: http:/route/querybyid/92708982-77af-4318-be25-57cc, SpanKind: SERVER, Timestamp:1694756081592000, SpanDuration: 69.0ms
--SpanID: 23b7638b31f1c341, SpanName: http:/route/querybyid/aefcef3f-3f42-46e8-afd7-6cb2, SpanKind: CLIENT, Timestamp:1694756081666000, SpanDuration: 9.0ms
--SpanID: 23b7638b31f1c341, SpanName: http:/route/querybyid/aefcef3f-3f42-46e8-afd7-6cb2, SpanKind: SERVER, Timestamp:1694756081667000, SpanDuration: 7.0ms
