SpanID: 8f81c4ca74ee92bd, SpanName: http:/consignprice/getprice, SpanKind: SERVER, Timestamp:1694757702845000, SpanDuration: 85.341ms
==================================
SpanID: 89e41a374e5d20e9, SpanName: http:/food/getfood, SpanKind: SERVER, Timestamp:1694757680645000, SpanDuration: 721.073ms
--SpanID: b8ea27ac1572b6e9, SpanName: http:/foodmap/gettrainfoodoftrip, SpanKind: CLIENT, Timestamp:1694757680831000, SpanDuration: 408.0ms
--SpanID: b8ea27ac1572b6e9, SpanName: http:/foodmap/gettrainfoodoftrip, SpanKind: SERVER, Timestamp:1694757681036000, SpanDuration: 199.0ms
--SpanID: b2a404fbe9461a28, SpanName: http:/travel/getroutebytripid/d1345, SpanKind: CLIENT, Timestamp:1694757681258000, SpanDuration: 16.0ms
----SpanID: 72a6dd4dd4f4b703, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: CLIENT, Timestamp:1694757681264000, SpanDuration: 7.0ms
----SpanID: 72a6dd4dd4f4b703, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: SERVER, Timestamp:1694757681266000, SpanDuration: 4.0ms
--SpanID: b2a404fbe9461a28, SpanName: http:/travel/getroutebytripid/d1345, SpanKind: SERVER, Timestamp:1694757681261000, SpanDuration: 12.0ms
----SpanID: 72a6dd4dd4f4b703, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: CLIENT, Timestamp:1694757681264000, SpanDuration: 7.0ms
----SpanID: 72a6dd4dd4f4b703, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: SERVER, Timestamp:1694757681266000, SpanDuration: 4.0ms
--SpanID: 6e89b2f9f526a589, SpanName: http:/travel2/getroutebytripid/d1345, SpanKind: CLIENT, Timestamp:1694757681275000, SpanDuration: 17.0ms
--SpanID: 6e89b2f9f526a589, SpanName: http:/travel2/getroutebytripid/d1345, SpanKind: SERVER, Timestamp:1694757681279000, SpanDuration: 12.0ms
--SpanID: 3e623867650b451d, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757681294000, SpanDuration: 10.0ms
--SpanID: 3e623867650b451d, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757681296000, SpanDuration: 5.0ms
--SpanID: 7396e285e8409698, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694757681305000, SpanDuration: 9.0ms
--SpanID: 7396e285e8409698, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694757681310000, SpanDuration: 4.0ms
