SpanID: 2c21b508ce0ed054, SpanName: http:/consignprice/getprice, SpanKind: SERVER, Timestamp:1694758646441000, SpanDuration: 81.323ms
==================================
SpanID: b62e2482c149d3af, SpanName: http:/food/getfood, SpanKind: SERVER, Timestamp:1694758632652000, SpanDuration: 405.766ms
--SpanID: d90947d51642036a, SpanName: http:/foodmap/gettrainfoodoftrip, SpanKind: CLIENT, Timestamp:1694758632741000, SpanDuration: 199.0ms
--SpanID: d90947d51642036a, SpanName: http:/foodmap/gettrainfoodoftrip, SpanKind: SERVER, Timestamp:1694758632835000, SpanDuration: 101.0ms
--SpanID: 8fb16454d9b5241a, SpanName: http:/travel/getroutebytripid/d1345, SpanKind: CLIENT, Timestamp:1694758632963000, SpanDuration: 16.0ms
----SpanID: a312ede2167be6c5, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: CLIENT, Timestamp:1694758632969000, SpanDuration: 6.0ms
----SpanID: a312ede2167be6c5, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: SERVER, Timestamp:1694758632971000, SpanDuration: 3.0ms
--SpanID: 8fb16454d9b5241a, SpanName: http:/travel/getroutebytripid/d1345, SpanKind: SERVER, Timestamp:1694758632965000, SpanDuration: 12.0ms
----SpanID: a312ede2167be6c5, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: CLIENT, Timestamp:1694758632969000, SpanDuration: 6.0ms
----SpanID: a312ede2167be6c5, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: SERVER, Timestamp:1694758632971000, SpanDuration: 3.0ms
--SpanID: 26a59b90537201ce, SpanName: http:/travel2/getroutebytripid/d1345, SpanKind: CLIENT, Timestamp:1694758632980000, SpanDuration: 13.0ms
--SpanID: 26a59b90537201ce, SpanName: http:/travel2/getroutebytripid/d1345, SpanKind: SERVER, Timestamp:1694758632983000, SpanDuration: 9.0ms
--SpanID: ed6f19ffbbcd2451, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1694758632995000, SpanDuration: 13.0ms
--SpanID: ed6f19ffbbcd2451, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1694758632997000, SpanDuration: 4.0ms
