SpanID: 53af54f31bbe1c41, SpanName: http:/click/clicktwice, SpanKind: SERVER, Timestamp:1693472316699000, SpanDuration: 2031.327ms
--SpanID: 3afc7da2c11cf2fe, SpanName: send-async-click-twice, SpanKind: UNKNOWN, Timestamp:1693472316716000, SpanDuration: 1813.589ms
----SpanID: 8fb68a4721b5e1c6, SpanName: http:/preserve, SpanKind: CLIENT, Timestamp:1693472316716000, SpanDuration: 1813.0ms
------SpanID: f4cdc5267b75d682, SpanName: preserve, SpanKind: UNKNOWN, Timestamp:1693472316722000, SpanDuration: 1562.869ms
--------SpanID: d37e85e96c2c9a72, SpanName: http:/verifylogintoken/bd7a6066-5564-4d51-b9d3-e7d, SpanKind: CLIENT, Timestamp:1693472316723000, SpanDuration: 7.0ms
--------SpanID: d37e85e96c2c9a72, SpanName: http:/verifylogintoken/bd7a6066-5564-4d51-b9d3-e7d, SpanKind: SERVER, Timestamp:1693472316724000, SpanDuration: 6.0ms
--------SpanID: 6d1d44fbf55bd8c9, SpanName: http:/security/check, SpanKind: CLIENT, Timestamp:1693472316740000, SpanDuration: 40.0ms
----------SpanID: e842d07010563a7c, SpanName: http:/getorderinfoforsecurity, SpanKind: CLIENT, Timestamp:1693472316748000, SpanDuration: 8.0ms
----------SpanID: e842d07010563a7c, SpanName: http:/getorderinfoforsecurity, SpanKind: SERVER, Timestamp:1693472316750000, SpanDuration: 5.0ms
----------SpanID: d1fddb85a12baa89, SpanName: http:/getorderotherinfoforsecurity, SpanKind: CLIENT, Timestamp:1693472316757000, SpanDuration: 17.0ms
----------SpanID: d1fddb85a12baa89, SpanName: http:/getorderotherinfoforsecurity, SpanKind: SERVER, Timestamp:1693472316764000, SpanDuration: 9.0ms
--------SpanID: 6d1d44fbf55bd8c9, SpanName: http:/security/check, SpanKind: SERVER, Timestamp:1693472316743000, SpanDuration: 36.0ms
----------SpanID: e842d07010563a7c, SpanName: http:/getorderinfoforsecurity, SpanKind: CLIENT, Timestamp:1693472316748000, SpanDuration: 8.0ms
----------SpanID: e842d07010563a7c, SpanName: http:/getorderinfoforsecurity, SpanKind: SERVER, Timestamp:1693472316750000, SpanDuration: 5.0ms
----------SpanID: d1fddb85a12baa89, SpanName: http:/getorderotherinfoforsecurity, SpanKind: CLIENT, Timestamp:1693472316757000, SpanDuration: 17.0ms
----------SpanID: d1fddb85a12baa89, SpanName: http:/getorderotherinfoforsecurity, SpanKind: SERVER, Timestamp:1693472316764000, SpanDuration: 9.0ms
--------SpanID: 1ba9c95d69a425dd, SpanName: http:/contacts/getcontactsbyid/, SpanKind: CLIENT, Timestamp:1693472316781000, SpanDuration: 38.0ms
----------SpanID: 23f7ca8f3648c616, SpanName: http:/verifylogintoken/bd7a6066-5564-4d51-b9d3-e7d, SpanKind: CLIENT, Timestamp:1693472316796000, SpanDuration: 9.0ms
----------SpanID: 23f7ca8f3648c616, SpanName: http:/verifylogintoken/bd7a6066-5564-4d51-b9d3-e7d, SpanKind: SERVER, Timestamp:1693472316798000, SpanDuration: 6.0ms
--------SpanID: 1ba9c95d69a425dd, SpanName: http:/contacts/getcontactsbyid/, SpanKind: SERVER, Timestamp:1693472316786000, SpanDuration: 33.0ms
----------SpanID: 23f7ca8f3648c616, SpanName: http:/verifylogintoken/bd7a6066-5564-4d51-b9d3-e7d, SpanKind: CLIENT, Timestamp:1693472316796000, SpanDuration: 9.0ms
----------SpanID: 23f7ca8f3648c616, SpanName: http:/verifylogintoken/bd7a6066-5564-4d51-b9d3-e7d, SpanKind: SERVER, Timestamp:1693472316798000, SpanDuration: 6.0ms
--------SpanID: 58b78ec0843c4dc0, SpanName: http:/travel/gettripalldetailinfo/, SpanKind: CLIENT, Timestamp:1693472316821000, SpanDuration: 502.0ms
----------SpanID: 6858dcd17b13adbd, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693472316840000, SpanDuration: 24.0ms
------------SpanID: c2cb164e2130584b, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693472316844000, SpanDuration: 18.0ms
--------------SpanID: d4d902d4d349ac81, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693472316847000, SpanDuration: 14.0ms
--------------SpanID: d4d902d4d349ac81, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693472316849000, SpanDuration: 11.0ms
------------SpanID: c2cb164e2130584b, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693472316845000, SpanDuration: 17.0ms
--------------SpanID: d4d902d4d349ac81, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693472316847000, SpanDuration: 14.0ms
--------------SpanID: d4d902d4d349ac81, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693472316849000, SpanDuration: 11.0ms
----------SpanID: 6858dcd17b13adbd, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693472316842000, SpanDuration: 22.0ms
------------SpanID: c2cb164e2130584b, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693472316844000, SpanDuration: 18.0ms
--------------SpanID: d4d902d4d349ac81, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693472316847000, SpanDuration: 14.0ms
--------------SpanID: d4d902d4d349ac81, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693472316849000, SpanDuration: 11.0ms
------------SpanID: c2cb164e2130584b, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693472316845000, SpanDuration: 17.0ms
