SpanID: b10b0e9c81605ec3, SpanName: http:/travel/query, SpanKind: SERVER, Timestamp:1693562734412000, SpanDuration: 23444.92ms
--SpanID: ffae2da0f3a96fdf, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693562734512000, SpanDuration: 732.0ms
----SpanID: 75171c7048b2d803, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693562734728000, SpanDuration: 491.0ms
------SpanID: cd319b451c2448bf, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693562734948000, SpanDuration: 244.0ms
------SpanID: cd319b451c2448bf, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693562735084000, SpanDuration: 103.0ms
----SpanID: 75171c7048b2d803, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693562734850000, SpanDuration: 363.0ms
------SpanID: cd319b451c2448bf, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693562734948000, SpanDuration: 244.0ms
------SpanID: cd319b451c2448bf, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693562735084000, SpanDuration: 103.0ms
--SpanID: ffae2da0f3a96fdf, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693562734639000, SpanDuration: 598.0ms
----SpanID: 75171c7048b2d803, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693562734728000, SpanDuration: 491.0ms
------SpanID: cd319b451c2448bf, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693562734948000, SpanDuration: 244.0ms
------SpanID: cd319b451c2448bf, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693562735084000, SpanDuration: 103.0ms
----SpanID: 75171c7048b2d803, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693562734850000, SpanDuration: 363.0ms
------SpanID: cd319b451c2448bf, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693562734948000, SpanDuration: 244.0ms
------SpanID: cd319b451c2448bf, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693562735084000, SpanDuration: 103.0ms
--SpanID: ee89aedd315cede5, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693562735265000, SpanDuration: 34.0ms
----SpanID: 14f50487bc14e817, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693562735272000, SpanDuration: 24.0ms
------SpanID: 97262654b7d54979, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693562735281000, SpanDuration: 12.0ms
------SpanID: 97262654b7d54979, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693562735286000, SpanDuration: 6.0ms
----SpanID: 14f50487bc14e817, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693562735277000, SpanDuration: 18.0ms
------SpanID: 97262654b7d54979, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693562735281000, SpanDuration: 12.0ms
------SpanID: 97262654b7d54979, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693562735286000, SpanDuration: 6.0ms
--SpanID: ee89aedd315cede5, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693562735268000, SpanDuration: 30.0ms
----SpanID: 14f50487bc14e817, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693562735272000, SpanDuration: 24.0ms
------SpanID: 97262654b7d54979, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693562735281000, SpanDuration: 12.0ms
------SpanID: 97262654b7d54979, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693562735286000, SpanDuration: 6.0ms
----SpanID: 14f50487bc14e817, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693562735277000, SpanDuration: 18.0ms
