SpanID: cda87f8c3e8735d6, SpanName: http:/inside_payment/pay, SpanKind: SERVER, Timestamp:1693817092899000, SpanDuration: 202.767ms
--SpanID: fd64ee7649576248, SpanName: http:/orderother/getbyid, SpanKind: CLIENT, Timestamp:1693817093015000, SpanDuration: 22.0ms
--SpanID: fd64ee7649576248, SpanName: http:/orderother/getbyid, SpanKind: SERVER, Timestamp:1693817093026000, SpanDuration: 7.0ms
--SpanID: 2d45bb15ebbe1263, SpanName: http:/orderother/modifyorderstatus, SpanKind: CLIENT, Timestamp:1693817093079000, SpanDuration: 12.0ms
--SpanID: 2d45bb15ebbe1263, SpanName: http:/orderother/modifyorderstatus, SpanKind: SERVER, Timestamp:1693817093082000, SpanDuration: 8.0ms
==================================
SpanID: 9145585dc3777544, SpanName: http:/preserveother, SpanKind: SERVER, Timestamp:1693817080789000, SpanDuration: 2159.368ms
--SpanID: f6339e560d290cb0, SpanName: http:/verifylogintoken/ca7b954c-524c-464e-89df-9f7, SpanKind: CLIENT, Timestamp:1693817080857000, SpanDuration: 23.0ms
--SpanID: f6339e560d290cb0, SpanName: http:/verifylogintoken/ca7b954c-524c-464e-89df-9f7, SpanKind: SERVER, Timestamp:1693817080867000, SpanDuration: 8.0ms
--SpanID: ddec573b1d19d657, SpanName: http:/security/check, SpanKind: CLIENT, Timestamp:1693817080905000, SpanDuration: 419.0ms
----SpanID: 09761f7a646b7ce7, SpanName: http:/getorderinfoforsecurity, SpanKind: CLIENT, Timestamp:1693817081060000, SpanDuration: 182.0ms
----SpanID: 09761f7a646b7ce7, SpanName: http:/getorderinfoforsecurity, SpanKind: SERVER, Timestamp:1693817081145000, SpanDuration: 95.0ms
----SpanID: ced585ceb4a8f499, SpanName: http:/getorderotherinfoforsecurity, SpanKind: CLIENT, Timestamp:1693817081271000, SpanDuration: 25.0ms
----SpanID: ced585ceb4a8f499, SpanName: http:/getorderotherinfoforsecurity, SpanKind: SERVER, Timestamp:1693817081274000, SpanDuration: 21.0ms
--SpanID: ddec573b1d19d657, SpanName: http:/security/check, SpanKind: SERVER, Timestamp:1693817080976000, SpanDuration: 346.0ms
----SpanID: 09761f7a646b7ce7, SpanName: http:/getorderinfoforsecurity, SpanKind: CLIENT, Timestamp:1693817081060000, SpanDuration: 182.0ms
----SpanID: 09761f7a646b7ce7, SpanName: http:/getorderinfoforsecurity, SpanKind: SERVER, Timestamp:1693817081145000, SpanDuration: 95.0ms
----SpanID: ced585ceb4a8f499, SpanName: http:/getorderotherinfoforsecurity, SpanKind: CLIENT, Timestamp:1693817081271000, SpanDuration: 25.0ms
----SpanID: ced585ceb4a8f499, SpanName: http:/getorderotherinfoforsecurity, SpanKind: SERVER, Timestamp:1693817081274000, SpanDuration: 21.0ms
--SpanID: 45822d873a8f650b, SpanName: http:/contacts/getcontactsbyid/, SpanKind: CLIENT, Timestamp:1693817081330000, SpanDuration: 23.0ms
----SpanID: 65321cd01f70c0a3, SpanName: http:/verifylogintoken/ca7b954c-524c-464e-89df-9f7, SpanKind: CLIENT, Timestamp:1693817081339000, SpanDuration: 8.0ms
----SpanID: 65321cd01f70c0a3, SpanName: http:/verifylogintoken/ca7b954c-524c-464e-89df-9f7, SpanKind: SERVER, Timestamp:1693817081340000, SpanDuration: 6.0ms
--SpanID: 45822d873a8f650b, SpanName: http:/contacts/getcontactsbyid/, SpanKind: SERVER, Timestamp:1693817081333000, SpanDuration: 18.0ms
----SpanID: 65321cd01f70c0a3, SpanName: http:/verifylogintoken/ca7b954c-524c-464e-89df-9f7, SpanKind: CLIENT, Timestamp:1693817081339000, SpanDuration: 8.0ms
----SpanID: 65321cd01f70c0a3, SpanName: http:/verifylogintoken/ca7b954c-524c-464e-89df-9f7, SpanKind: SERVER, Timestamp:1693817081340000, SpanDuration: 6.0ms
--SpanID: caef0d533ff8a1e2, SpanName: http:/travel2/gettripalldetailinfo/, SpanKind: CLIENT, Timestamp:1693817081365000, SpanDuration: 346.0ms
----SpanID: f3fe4ecc6770e532, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693817081372000, SpanDuration: 15.0ms
------SpanID: 598b675e529e05c7, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693817081376000, SpanDuration: 9.0ms
--------SpanID: 2f20ca5a6f8dce41, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693817081379000, SpanDuration: 5.0ms
--------SpanID: 2f20ca5a6f8dce41, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693817081380000, SpanDuration: 3.0ms
------SpanID: 598b675e529e05c7, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693817081377000, SpanDuration: 8.0ms
--------SpanID: 2f20ca5a6f8dce41, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693817081379000, SpanDuration: 5.0ms
--------SpanID: 2f20ca5a6f8dce41, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693817081380000, SpanDuration: 3.0ms
----SpanID: f3fe4ecc6770e532, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693817081374000, SpanDuration: 13.0ms
------SpanID: 598b675e529e05c7, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693817081376000, SpanDuration: 9.0ms
--------SpanID: 2f20ca5a6f8dce41, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693817081379000, SpanDuration: 5.0ms
--------SpanID: 2f20ca5a6f8dce41, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693817081380000, SpanDuration: 3.0ms
------SpanID: 598b675e529e05c7, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693817081377000, SpanDuration: 8.0ms
--------SpanID: 2f20ca5a6f8dce41, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693817081379000, SpanDuration: 5.0ms
--------SpanID: 2f20ca5a6f8dce41, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693817081380000, SpanDuration: 3.0ms
----SpanID: 012cbfb78dc51860, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693817081389000, SpanDuration: 19.0ms
------SpanID: a0931687a94de846, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693817081393000, SpanDuration: 13.0ms
--------SpanID: a946698e424e5895, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693817081398000, SpanDuration: 6.0ms
--------SpanID: a946698e424e5895, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693817081400000, SpanDuration: 4.0ms
------SpanID: a0931687a94de846, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693817081396000, SpanDuration: 10.0ms
--------SpanID: a946698e424e5895, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693817081398000, SpanDuration: 6.0ms
--------SpanID: a946698e424e5895, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693817081400000, SpanDuration: 4.0ms
----SpanID: 012cbfb78dc51860, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693817081391000, SpanDuration: 17.0ms
------SpanID: a0931687a94de846, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693817081393000, SpanDuration: 13.0ms
--------SpanID: a946698e424e5895, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693817081398000, SpanDuration: 6.0ms
--------SpanID: a946698e424e5895, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693817081400000, SpanDuration: 4.0ms
