SpanID: 2f6c3e815f505939, SpanName: http:/click/occupy, SpanKind: SERVER, Timestamp:1693902207986000, SpanDuration: 564.499ms
--SpanID: cc17bbd0b89294bd, SpanName: http:/login, SpanKind: CLIENT, Timestamp:1693902208061000, SpanDuration: 450.0ms
----SpanID: 57268f620f8c9898, SpanName: http:/verification/verify, SpanKind: CLIENT, Timestamp:1693902208228000, SpanDuration: 42.0ms
----SpanID: 57268f620f8c9898, SpanName: http:/verification/verify, SpanKind: SERVER, Timestamp:1693902208241000, SpanDuration: 23.0ms
----SpanID: 0a745c07348860f6, SpanName: http:/account/login, SpanKind: CLIENT, Timestamp:1693902208299000, SpanDuration: 187.0ms
----SpanID: 0a745c07348860f6, SpanName: http:/account/login, SpanKind: SERVER, Timestamp:1693902208371000, SpanDuration: 112.0ms
--SpanID: cc17bbd0b89294bd, SpanName: http:/login, SpanKind: SERVER, Timestamp:1693902208147000, SpanDuration: 353.0ms
----SpanID: 57268f620f8c9898, SpanName: http:/verification/verify, SpanKind: CLIENT, Timestamp:1693902208228000, SpanDuration: 42.0ms
----SpanID: 57268f620f8c9898, SpanName: http:/verification/verify, SpanKind: SERVER, Timestamp:1693902208241000, SpanDuration: 23.0ms
----SpanID: 0a745c07348860f6, SpanName: http:/account/login, SpanKind: CLIENT, Timestamp:1693902208299000, SpanDuration: 187.0ms
----SpanID: 0a745c07348860f6, SpanName: http:/account/login, SpanKind: SERVER, Timestamp:1693902208371000, SpanDuration: 112.0ms
--SpanID: bef483eb2f36588f, SpanName: search-in-advance-search, SpanKind: UNKNOWN, Timestamp:1693902208539000, SpanDuration: 2298.885ms
----SpanID: 31ed449e38cb8978, SpanName: http:/travelplan/getcheapest, SpanKind: CLIENT, Timestamp:1693902208553000, SpanDuration: 2284.0ms
------SpanID: 211142aed5caa387, SpanName: http:/routeplan/cheapestroute, SpanKind: CLIENT, Timestamp:1693902208771000, SpanDuration: 2010.0ms
--------SpanID: e40e24c51e7b9124, SpanName: http:/travel/querywithpackage, SpanKind: CLIENT, Timestamp:1693902208973000, SpanDuration: 1279.0ms
----------SpanID: 4e041885fb015f76, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693902209183000, SpanDuration: 652.0ms
------------SpanID: 716c996dbf1b2a2e, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693902209352000, SpanDuration: 456.0ms
--------------SpanID: 6918b1dd218eaa7d, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693902209559000, SpanDuration: 221.0ms
--------------SpanID: 6918b1dd218eaa7d, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693902209660000, SpanDuration: 115.0ms
------------SpanID: 716c996dbf1b2a2e, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693902209458000, SpanDuration: 343.0ms
--------------SpanID: 6918b1dd218eaa7d, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693902209559000, SpanDuration: 221.0ms
--------------SpanID: 6918b1dd218eaa7d, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693902209660000, SpanDuration: 115.0ms
----------SpanID: 4e041885fb015f76, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693902209265000, SpanDuration: 562.0ms
------------SpanID: 716c996dbf1b2a2e, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693902209352000, SpanDuration: 456.0ms
--------------SpanID: 6918b1dd218eaa7d, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693902209559000, SpanDuration: 221.0ms
--------------SpanID: 6918b1dd218eaa7d, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693902209660000, SpanDuration: 115.0ms
------------SpanID: 716c996dbf1b2a2e, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693902209458000, SpanDuration: 343.0ms
--------------SpanID: 6918b1dd218eaa7d, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693902209559000, SpanDuration: 221.0ms
--------------SpanID: 6918b1dd218eaa7d, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693902209660000, SpanDuration: 115.0ms
----------SpanID: 79fb8109a3d7e081, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693902209849000, SpanDuration: 34.0ms
------------SpanID: af338fb97f46d301, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693902209858000, SpanDuration: 20.0ms
--------------SpanID: 41ba6c3c4eefac47, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693902209865000, SpanDuration: 12.0ms
--------------SpanID: 41ba6c3c4eefac47, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693902209871000, SpanDuration: 5.0ms
------------SpanID: af338fb97f46d301, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693902209861000, SpanDuration: 17.0ms
--------------SpanID: 41ba6c3c4eefac47, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693902209865000, SpanDuration: 12.0ms
--------------SpanID: 41ba6c3c4eefac47, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693902209871000, SpanDuration: 5.0ms
----------SpanID: 79fb8109a3d7e081, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693902209855000, SpanDuration: 27.0ms
------------SpanID: af338fb97f46d301, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693902209858000, SpanDuration: 20.0ms
--------------SpanID: 41ba6c3c4eefac47, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693902209865000, SpanDuration: 12.0ms
--------------SpanID: 41ba6c3c4eefac47, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693902209871000, SpanDuration: 5.0ms
------------SpanID: af338fb97f46d301, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693902209861000, SpanDuration: 17.0ms
--------------SpanID: 41ba6c3c4eefac47, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693902209865000, SpanDuration: 12.0ms
--------------SpanID: 41ba6c3c4eefac47, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693902209871000, SpanDuration: 5.0ms
----------SpanID: 2e58d9ea7c7a5715, SpanName: http:/route/querybyid/92708982-77af-4318-be25-57cc, SpanKind: CLIENT, Timestamp:1693902209917000, SpanDuration: 212.0ms
----------SpanID: 2e58d9ea7c7a5715, SpanName: http:/route/querybyid/92708982-77af-4318-be25-57cc, SpanKind: SERVER, Timestamp:1693902210013000, SpanDuration: 112.0ms
----------SpanID: cdb445dfaf32d61f, SpanName: http:/route/querybyid/aefcef3f-3f42-46e8-afd7-6cb2, SpanKind: CLIENT, Timestamp:1693902210130000, SpanDuration: 50.0ms
----------SpanID: cdb445dfaf32d61f, SpanName: http:/route/querybyid/aefcef3f-3f42-46e8-afd7-6cb2, SpanKind: SERVER, Timestamp:1693902210141000, SpanDuration: 33.0ms
----------SpanID: 51994225deb440c9, SpanName: http:/route/querybyid/a3f256c1-0e43-4f7d-9c21-121b, SpanKind: CLIENT, Timestamp:1693902210180000, SpanDuration: 10.0ms
----------SpanID: 51994225deb440c9, SpanName: http:/route/querybyid/a3f256c1-0e43-4f7d-9c21-121b, SpanKind: SERVER, Timestamp:1693902210182000, SpanDuration: 8.0ms
----------SpanID: 0b4fe3211162ab81, SpanName: http:/route/querybyid/084837bb-53c8-4438-87c8-0321, SpanKind: CLIENT, Timestamp:1693902210191000, SpanDuration: 16.0ms
----------SpanID: 0b4fe3211162ab81, SpanName: http:/route/querybyid/084837bb-53c8-4438-87c8-0321, SpanKind: SERVER, Timestamp:1693902210194000, SpanDuration: 12.0ms
----------SpanID: 073a2abc589a7625, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: CLIENT, Timestamp:1693902210208000, SpanDuration: 19.0ms
----------SpanID: 073a2abc589a7625, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: SERVER, Timestamp:1693902210210000, SpanDuration: 16.0ms
--------SpanID: e40e24c51e7b9124, SpanName: http:/travel/querywithpackage, SpanKind: SERVER, Timestamp:1693902209080000, SpanDuration: 1162.0ms
----------SpanID: 4e041885fb015f76, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693902209183000, SpanDuration: 652.0ms
------------SpanID: 716c996dbf1b2a2e, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693902209352000, SpanDuration: 456.0ms
--------------SpanID: 6918b1dd218eaa7d, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693902209559000, SpanDuration: 221.0ms
--------------SpanID: 6918b1dd218eaa7d, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693902209660000, SpanDuration: 115.0ms
------------SpanID: 716c996dbf1b2a2e, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693902209458000, SpanDuration: 343.0ms
--------------SpanID: 6918b1dd218eaa7d, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693902209559000, SpanDuration: 221.0ms
--------------SpanID: 6918b1dd218eaa7d, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693902209660000, SpanDuration: 115.0ms
----------SpanID: 4e041885fb015f76, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693902209265000, SpanDuration: 562.0ms
------------SpanID: 716c996dbf1b2a2e, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693902209352000, SpanDuration: 456.0ms
--------------SpanID: 6918b1dd218eaa7d, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693902209559000, SpanDuration: 221.0ms
--------------SpanID: 6918b1dd218eaa7d, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693902209660000, SpanDuration: 115.0ms
------------SpanID: 716c996dbf1b2a2e, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693902209458000, SpanDuration: 343.0ms
--------------SpanID: 6918b1dd218eaa7d, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693902209559000, SpanDuration: 221.0ms
--------------SpanID: 6918b1dd218eaa7d, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693902209660000, SpanDuration: 115.0ms
----------SpanID: 79fb8109a3d7e081, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693902209849000, SpanDuration: 34.0ms
------------SpanID: af338fb97f46d301, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693902209858000, SpanDuration: 20.0ms
--------------SpanID: 41ba6c3c4eefac47, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693902209865000, SpanDuration: 12.0ms
--------------SpanID: 41ba6c3c4eefac47, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693902209871000, SpanDuration: 5.0ms
------------SpanID: af338fb97f46d301, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693902209861000, SpanDuration: 17.0ms
--------------SpanID: 41ba6c3c4eefac47, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693902209865000, SpanDuration: 12.0ms
--------------SpanID: 41ba6c3c4eefac47, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693902209871000, SpanDuration: 5.0ms
----------SpanID: 79fb8109a3d7e081, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693902209855000, SpanDuration: 27.0ms
