SpanID: 9abbf50ef5393fef, SpanName: http:/travelplan/getcheapest, SpanKind: SERVER, Timestamp:1693897380997000, SpanDuration: 10713.892ms
--SpanID: 77d27253b05f88fb, SpanName: http:/routeplan/cheapestroute, SpanKind: CLIENT, Timestamp:1693897381005000, SpanDuration: 10503.0ms
----SpanID: f7401c804d0b6cd7, SpanName: http:/travel/querywithpackage, SpanKind: CLIENT, Timestamp:1693897381011000, SpanDuration: 82.0ms
------SpanID: d9d6361db7ab3f2c, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381017000, SpanDuration: 16.0ms
--------SpanID: 6ec6d93d5cbbcc0e, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381020000, SpanDuration: 10.0ms
----------SpanID: e146195666606c4c, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381024000, SpanDuration: 4.0ms
----------SpanID: e146195666606c4c, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381025000, SpanDuration: 3.0ms
--------SpanID: 6ec6d93d5cbbcc0e, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693897381022000, SpanDuration: 8.0ms
----------SpanID: e146195666606c4c, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381024000, SpanDuration: 4.0ms
----------SpanID: e146195666606c4c, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381025000, SpanDuration: 3.0ms
------SpanID: d9d6361db7ab3f2c, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693897381019000, SpanDuration: 12.0ms
--------SpanID: 6ec6d93d5cbbcc0e, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381020000, SpanDuration: 10.0ms
----------SpanID: e146195666606c4c, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381024000, SpanDuration: 4.0ms
----------SpanID: e146195666606c4c, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381025000, SpanDuration: 3.0ms
--------SpanID: 6ec6d93d5cbbcc0e, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693897381022000, SpanDuration: 8.0ms
----------SpanID: e146195666606c4c, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381024000, SpanDuration: 4.0ms
----------SpanID: e146195666606c4c, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381025000, SpanDuration: 3.0ms
------SpanID: 262c98f9c59b2849, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381034000, SpanDuration: 21.0ms
--------SpanID: c30b491600b23efa, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381039000, SpanDuration: 15.0ms
----------SpanID: 5db44074e106c8f6, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381044000, SpanDuration: 7.0ms
----------SpanID: 5db44074e106c8f6, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381047000, SpanDuration: 4.0ms
--------SpanID: c30b491600b23efa, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693897381042000, SpanDuration: 11.0ms
----------SpanID: 5db44074e106c8f6, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381044000, SpanDuration: 7.0ms
----------SpanID: 5db44074e106c8f6, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381047000, SpanDuration: 4.0ms
------SpanID: 262c98f9c59b2849, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693897381037000, SpanDuration: 18.0ms
--------SpanID: c30b491600b23efa, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381039000, SpanDuration: 15.0ms
----------SpanID: 5db44074e106c8f6, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381044000, SpanDuration: 7.0ms
----------SpanID: 5db44074e106c8f6, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381047000, SpanDuration: 4.0ms
--------SpanID: c30b491600b23efa, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693897381042000, SpanDuration: 11.0ms
----------SpanID: 5db44074e106c8f6, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381044000, SpanDuration: 7.0ms
----------SpanID: 5db44074e106c8f6, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381047000, SpanDuration: 4.0ms
------SpanID: 230d93526f7342a6, SpanName: http:/route/querybyid/92708982-77af-4318-be25-57cc, SpanKind: CLIENT, Timestamp:1693897381059000, SpanDuration: 5.0ms
------SpanID: 230d93526f7342a6, SpanName: http:/route/querybyid/92708982-77af-4318-be25-57cc, SpanKind: SERVER, Timestamp:1693897381060000, SpanDuration: 3.0ms
------SpanID: 99b5cc34005d53b5, SpanName: http:/route/querybyid/aefcef3f-3f42-46e8-afd7-6cb2, SpanKind: CLIENT, Timestamp:1693897381065000, SpanDuration: 6.0ms
------SpanID: 99b5cc34005d53b5, SpanName: http:/route/querybyid/aefcef3f-3f42-46e8-afd7-6cb2, SpanKind: SERVER, Timestamp:1693897381066000, SpanDuration: 4.0ms
------SpanID: b7580ef6790ba585, SpanName: http:/route/querybyid/a3f256c1-0e43-4f7d-9c21-121b, SpanKind: CLIENT, Timestamp:1693897381072000, SpanDuration: 5.0ms
------SpanID: b7580ef6790ba585, SpanName: http:/route/querybyid/a3f256c1-0e43-4f7d-9c21-121b, SpanKind: SERVER, Timestamp:1693897381073000, SpanDuration: 3.0ms
------SpanID: 2e264c419046aa8b, SpanName: http:/route/querybyid/084837bb-53c8-4438-87c8-0321, SpanKind: CLIENT, Timestamp:1693897381078000, SpanDuration: 6.0ms
------SpanID: 2e264c419046aa8b, SpanName: http:/route/querybyid/084837bb-53c8-4438-87c8-0321, SpanKind: SERVER, Timestamp:1693897381079000, SpanDuration: 5.0ms
------SpanID: 6fd996246b46cd1b, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: CLIENT, Timestamp:1693897381086000, SpanDuration: 5.0ms
------SpanID: 6fd996246b46cd1b, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: SERVER, Timestamp:1693897381087000, SpanDuration: 3.0ms
----SpanID: f7401c804d0b6cd7, SpanName: http:/travel/querywithpackage, SpanKind: SERVER, Timestamp:1693897381013000, SpanDuration: 80.0ms
------SpanID: d9d6361db7ab3f2c, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381017000, SpanDuration: 16.0ms
--------SpanID: 6ec6d93d5cbbcc0e, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381020000, SpanDuration: 10.0ms
----------SpanID: e146195666606c4c, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381024000, SpanDuration: 4.0ms
----------SpanID: e146195666606c4c, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381025000, SpanDuration: 3.0ms
--------SpanID: 6ec6d93d5cbbcc0e, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693897381022000, SpanDuration: 8.0ms
----------SpanID: e146195666606c4c, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381024000, SpanDuration: 4.0ms
----------SpanID: e146195666606c4c, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381025000, SpanDuration: 3.0ms
------SpanID: d9d6361db7ab3f2c, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693897381019000, SpanDuration: 12.0ms
--------SpanID: 6ec6d93d5cbbcc0e, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381020000, SpanDuration: 10.0ms
----------SpanID: e146195666606c4c, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381024000, SpanDuration: 4.0ms
----------SpanID: e146195666606c4c, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381025000, SpanDuration: 3.0ms
--------SpanID: 6ec6d93d5cbbcc0e, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693897381022000, SpanDuration: 8.0ms
----------SpanID: e146195666606c4c, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381024000, SpanDuration: 4.0ms
----------SpanID: e146195666606c4c, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381025000, SpanDuration: 3.0ms
------SpanID: 262c98f9c59b2849, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381034000, SpanDuration: 21.0ms
--------SpanID: c30b491600b23efa, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381039000, SpanDuration: 15.0ms
----------SpanID: 5db44074e106c8f6, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381044000, SpanDuration: 7.0ms
----------SpanID: 5db44074e106c8f6, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381047000, SpanDuration: 4.0ms
--------SpanID: c30b491600b23efa, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693897381042000, SpanDuration: 11.0ms
----------SpanID: 5db44074e106c8f6, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381044000, SpanDuration: 7.0ms
----------SpanID: 5db44074e106c8f6, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381047000, SpanDuration: 4.0ms
------SpanID: 262c98f9c59b2849, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693897381037000, SpanDuration: 18.0ms
--------SpanID: c30b491600b23efa, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381039000, SpanDuration: 15.0ms
----------SpanID: 5db44074e106c8f6, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381044000, SpanDuration: 7.0ms
----------SpanID: 5db44074e106c8f6, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381047000, SpanDuration: 4.0ms
--------SpanID: c30b491600b23efa, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693897381042000, SpanDuration: 11.0ms
----------SpanID: 5db44074e106c8f6, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381044000, SpanDuration: 7.0ms
----------SpanID: 5db44074e106c8f6, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381047000, SpanDuration: 4.0ms
------SpanID: 230d93526f7342a6, SpanName: http:/route/querybyid/92708982-77af-4318-be25-57cc, SpanKind: CLIENT, Timestamp:1693897381059000, SpanDuration: 5.0ms
------SpanID: 230d93526f7342a6, SpanName: http:/route/querybyid/92708982-77af-4318-be25-57cc, SpanKind: SERVER, Timestamp:1693897381060000, SpanDuration: 3.0ms
------SpanID: 99b5cc34005d53b5, SpanName: http:/route/querybyid/aefcef3f-3f42-46e8-afd7-6cb2, SpanKind: CLIENT, Timestamp:1693897381065000, SpanDuration: 6.0ms
------SpanID: 99b5cc34005d53b5, SpanName: http:/route/querybyid/aefcef3f-3f42-46e8-afd7-6cb2, SpanKind: SERVER, Timestamp:1693897381066000, SpanDuration: 4.0ms
------SpanID: b7580ef6790ba585, SpanName: http:/route/querybyid/a3f256c1-0e43-4f7d-9c21-121b, SpanKind: CLIENT, Timestamp:1693897381072000, SpanDuration: 5.0ms
------SpanID: b7580ef6790ba585, SpanName: http:/route/querybyid/a3f256c1-0e43-4f7d-9c21-121b, SpanKind: SERVER, Timestamp:1693897381073000, SpanDuration: 3.0ms
------SpanID: 2e264c419046aa8b, SpanName: http:/route/querybyid/084837bb-53c8-4438-87c8-0321, SpanKind: CLIENT, Timestamp:1693897381078000, SpanDuration: 6.0ms
------SpanID: 2e264c419046aa8b, SpanName: http:/route/querybyid/084837bb-53c8-4438-87c8-0321, SpanKind: SERVER, Timestamp:1693897381079000, SpanDuration: 5.0ms
------SpanID: 6fd996246b46cd1b, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: CLIENT, Timestamp:1693897381086000, SpanDuration: 5.0ms
------SpanID: 6fd996246b46cd1b, SpanName: http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0, SpanKind: SERVER, Timestamp:1693897381087000, SpanDuration: 3.0ms
----SpanID: 553ab891056b5869, SpanName: http:/travel2/querywithpackage, SpanKind: CLIENT, Timestamp:1693897381095000, SpanDuration: 10391.0ms
------SpanID: c14fc9d48c3f6da6, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381098000, SpanDuration: 17.0ms
--------SpanID: edc41eb7849cc458, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381102000, SpanDuration: 11.0ms
----------SpanID: 5630500df32e294e, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381106000, SpanDuration: 5.0ms
----------SpanID: 5630500df32e294e, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381108000, SpanDuration: 2.0ms
--------SpanID: edc41eb7849cc458, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693897381104000, SpanDuration: 8.0ms
----------SpanID: 5630500df32e294e, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381106000, SpanDuration: 5.0ms
----------SpanID: 5630500df32e294e, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381108000, SpanDuration: 2.0ms
------SpanID: c14fc9d48c3f6da6, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693897381100000, SpanDuration: 14.0ms
--------SpanID: edc41eb7849cc458, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381102000, SpanDuration: 11.0ms
----------SpanID: 5630500df32e294e, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381106000, SpanDuration: 5.0ms
----------SpanID: 5630500df32e294e, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381108000, SpanDuration: 2.0ms
--------SpanID: edc41eb7849cc458, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693897381104000, SpanDuration: 8.0ms
----------SpanID: 5630500df32e294e, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381106000, SpanDuration: 5.0ms
----------SpanID: 5630500df32e294e, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381108000, SpanDuration: 2.0ms
------SpanID: 0ec36b5826e4561b, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381116000, SpanDuration: 19.0ms
--------SpanID: 44c539b6a1e29afb, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381120000, SpanDuration: 13.0ms
----------SpanID: 5fef4957f988ec06, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381124000, SpanDuration: 6.0ms
----------SpanID: 5fef4957f988ec06, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381127000, SpanDuration: 3.0ms
--------SpanID: 44c539b6a1e29afb, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693897381122000, SpanDuration: 10.0ms
----------SpanID: 5fef4957f988ec06, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381124000, SpanDuration: 6.0ms
----------SpanID: 5fef4957f988ec06, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381127000, SpanDuration: 3.0ms
------SpanID: 0ec36b5826e4561b, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693897381118000, SpanDuration: 17.0ms
--------SpanID: 44c539b6a1e29afb, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693897381120000, SpanDuration: 13.0ms
----------SpanID: 5fef4957f988ec06, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381124000, SpanDuration: 6.0ms
----------SpanID: 5fef4957f988ec06, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693897381127000, SpanDuration: 3.0ms
--------SpanID: 44c539b6a1e29afb, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693897381122000, SpanDuration: 10.0ms
----------SpanID: 5fef4957f988ec06, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693897381124000, SpanDuration: 6.0ms
