SpanID: 48caca21ead1c381, SpanName: http:/inside_payment/pay, SpanKind: SERVER, Timestamp:1693985880479000, SpanDuration: 6203.648ms
--SpanID: ec0f0b85cc352824, SpanName: http:/orderother/getbyid, SpanKind: CLIENT, Timestamp:1693985880568000, SpanDuration: 42.0ms
--SpanID: ec0f0b85cc352824, SpanName: http:/orderother/getbyid, SpanKind: SERVER, Timestamp:1693985880577000, SpanDuration: 28.0ms
==================================
SpanID: a767acb5daee0aa0, SpanName: http:/preserveother, SpanKind: SERVER, Timestamp:1693985872358000, SpanDuration: 2817.067ms
--SpanID: e2e1074008f3d315, SpanName: http:/verifylogintoken/0ddc0342-9b0e-4021-95ec-89f, SpanKind: CLIENT, Timestamp:1693985872437000, SpanDuration: 22.0ms
--SpanID: e2e1074008f3d315, SpanName: http:/verifylogintoken/0ddc0342-9b0e-4021-95ec-89f, SpanKind: SERVER, Timestamp:1693985872447000, SpanDuration: 7.0ms
--SpanID: 3daee60e05afe75d, SpanName: http:/security/check, SpanKind: CLIENT, Timestamp:1693985872483000, SpanDuration: 477.0ms
----SpanID: d1f6b93f3e0261dc, SpanName: http:/getorderinfoforsecurity, SpanKind: CLIENT, Timestamp:1693985872670000, SpanDuration: 234.0ms
----SpanID: d1f6b93f3e0261dc, SpanName: http:/getorderinfoforsecurity, SpanKind: SERVER, Timestamp:1693985872783000, SpanDuration: 118.0ms
----SpanID: 888d92d47d1b5bb3, SpanName: http:/getorderotherinfoforsecurity, SpanKind: CLIENT, Timestamp:1693985872925000, SpanDuration: 14.0ms
----SpanID: 888d92d47d1b5bb3, SpanName: http:/getorderotherinfoforsecurity, SpanKind: SERVER, Timestamp:1693985872927000, SpanDuration: 11.0ms
--SpanID: 3daee60e05afe75d, SpanName: http:/security/check, SpanKind: SERVER, Timestamp:1693985872573000, SpanDuration: 385.0ms
----SpanID: d1f6b93f3e0261dc, SpanName: http:/getorderinfoforsecurity, SpanKind: CLIENT, Timestamp:1693985872670000, SpanDuration: 234.0ms
----SpanID: d1f6b93f3e0261dc, SpanName: http:/getorderinfoforsecurity, SpanKind: SERVER, Timestamp:1693985872783000, SpanDuration: 118.0ms
----SpanID: 888d92d47d1b5bb3, SpanName: http:/getorderotherinfoforsecurity, SpanKind: CLIENT, Timestamp:1693985872925000, SpanDuration: 14.0ms
----SpanID: 888d92d47d1b5bb3, SpanName: http:/getorderotherinfoforsecurity, SpanKind: SERVER, Timestamp:1693985872927000, SpanDuration: 11.0ms
--SpanID: ea1d368cec66c88f, SpanName: http:/contacts/getcontactsbyid/, SpanKind: CLIENT, Timestamp:1693985872965000, SpanDuration: 22.0ms
----SpanID: 7d54e9c5dd5e6dfb, SpanName: http:/verifylogintoken/0ddc0342-9b0e-4021-95ec-89f, SpanKind: CLIENT, Timestamp:1693985872972000, SpanDuration: 9.0ms
