SpanID: b7f3ac631dfb88cf, SpanName: http:/inside_payment/pay, SpanKind: SERVER, Timestamp:1693988774308000, SpanDuration: 428.071ms
--SpanID: 7d03a900c1f96770, SpanName: http:/orderother/getbyid, SpanKind: CLIENT, Timestamp:1693988774436000, SpanDuration: 40.0ms
--SpanID: 7d03a900c1f96770, SpanName: http:/orderother/getbyid, SpanKind: SERVER, Timestamp:1693988774449000, SpanDuration: 23.0ms
--SpanID: d4ce229fb6633692, SpanName: http:/payment/pay, SpanKind: CLIENT, Timestamp:1693988774507000, SpanDuration: 205.0ms
--SpanID: d4ce229fb6633692, SpanName: http:/payment/pay, SpanKind: SERVER, Timestamp:1693988774618000, SpanDuration: 80.0ms
--SpanID: baf9a915fbb62950, SpanName: http:/orderother/modifyorderstatus, SpanKind: CLIENT, Timestamp:1693988774716000, SpanDuration: 10.0ms
--SpanID: baf9a915fbb62950, SpanName: http:/orderother/modifyorderstatus, SpanKind: SERVER, Timestamp:1693988774719000, SpanDuration: 7.0ms
==================================
SpanID: 045d946074d0185b, SpanName: http:/preserveother, SpanKind: SERVER, Timestamp:1693988766166000, SpanDuration: 2354.307ms
--SpanID: 2d328ea8f3c28291, SpanName: http:/verifylogintoken/e3b81423-386c-418a-9d14-f71, SpanKind: CLIENT, Timestamp:1693988766251000, SpanDuration: 23.0ms
--SpanID: 2d328ea8f3c28291, SpanName: http:/verifylogintoken/e3b81423-386c-418a-9d14-f71, SpanKind: SERVER, Timestamp:1693988766263000, SpanDuration: 5.0ms
--SpanID: da1dc95192d00ad9, SpanName: http:/security/check, SpanKind: CLIENT, Timestamp:1693988766304000, SpanDuration: 454.0ms
----SpanID: 5b46be606b09305b, SpanName: http:/getorderinfoforsecurity, SpanKind: CLIENT, Timestamp:1693988766488000, SpanDuration: 209.0ms
----SpanID: 5b46be606b09305b, SpanName: http:/getorderinfoforsecurity, SpanKind: SERVER, Timestamp:1693988766585000, SpanDuration: 108.0ms
----SpanID: b47cedae04b8ce46, SpanName: http:/getorderotherinfoforsecurity, SpanKind: CLIENT, Timestamp:1693988766722000, SpanDuration: 12.0ms
----SpanID: b47cedae04b8ce46, SpanName: http:/getorderotherinfoforsecurity, SpanKind: SERVER, Timestamp:1693988766724000, SpanDuration: 9.0ms
--SpanID: da1dc95192d00ad9, SpanName: http:/security/check, SpanKind: SERVER, Timestamp:1693988766394000, SpanDuration: 362.0ms
----SpanID: 5b46be606b09305b, SpanName: http:/getorderinfoforsecurity, SpanKind: CLIENT, Timestamp:1693988766488000, SpanDuration: 209.0ms
----SpanID: 5b46be606b09305b, SpanName: http:/getorderinfoforsecurity, SpanKind: SERVER, Timestamp:1693988766585000, SpanDuration: 108.0ms
----SpanID: b47cedae04b8ce46, SpanName: http:/getorderotherinfoforsecurity, SpanKind: CLIENT, Timestamp:1693988766722000, SpanDuration: 12.0ms
----SpanID: b47cedae04b8ce46, SpanName: http:/getorderotherinfoforsecurity, SpanKind: SERVER, Timestamp:1693988766724000, SpanDuration: 9.0ms
--SpanID: 86015f35105533a2, SpanName: http:/contacts/getcontactsbyid/, SpanKind: CLIENT, Timestamp:1693988766763000, SpanDuration: 20.0ms
----SpanID: c6838f1782738fa9, SpanName: http:/verifylogintoken/e3b81423-386c-418a-9d14-f71, SpanKind: CLIENT, Timestamp:1693988766770000, SpanDuration: 7.0ms
----SpanID: c6838f1782738fa9, SpanName: http:/verifylogintoken/e3b81423-386c-418a-9d14-f71, SpanKind: SERVER, Timestamp:1693988766772000, SpanDuration: 5.0ms
--SpanID: 86015f35105533a2, SpanName: http:/contacts/getcontactsbyid/, SpanKind: SERVER, Timestamp:1693988766765000, SpanDuration: 17.0ms
----SpanID: c6838f1782738fa9, SpanName: http:/verifylogintoken/e3b81423-386c-418a-9d14-f71, SpanKind: CLIENT, Timestamp:1693988766770000, SpanDuration: 7.0ms
----SpanID: c6838f1782738fa9, SpanName: http:/verifylogintoken/e3b81423-386c-418a-9d14-f71, SpanKind: SERVER, Timestamp:1693988766772000, SpanDuration: 5.0ms
--SpanID: d0a5789ec2ecc099, SpanName: http:/travel2/gettripalldetailinfo/, SpanKind: CLIENT, Timestamp:1693988766798000, SpanDuration: 387.0ms
----SpanID: e8a91241f0816775, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693988766805000, SpanDuration: 20.0ms
------SpanID: 38f1d2b8da491041, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693988766810000, SpanDuration: 14.0ms
--------SpanID: 1cc07cc3772dc514, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693988766815000, SpanDuration: 7.0ms
--------SpanID: 1cc07cc3772dc514, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693988766817000, SpanDuration: 4.0ms
------SpanID: 38f1d2b8da491041, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693988766812000, SpanDuration: 11.0ms
--------SpanID: 1cc07cc3772dc514, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693988766815000, SpanDuration: 7.0ms
--------SpanID: 1cc07cc3772dc514, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693988766817000, SpanDuration: 4.0ms
----SpanID: e8a91241f0816775, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693988766808000, SpanDuration: 17.0ms
------SpanID: 38f1d2b8da491041, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693988766810000, SpanDuration: 14.0ms
--------SpanID: 1cc07cc3772dc514, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693988766815000, SpanDuration: 7.0ms
--------SpanID: 1cc07cc3772dc514, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693988766817000, SpanDuration: 4.0ms
------SpanID: 38f1d2b8da491041, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693988766812000, SpanDuration: 11.0ms
--------SpanID: 1cc07cc3772dc514, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693988766815000, SpanDuration: 7.0ms
--------SpanID: 1cc07cc3772dc514, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693988766817000, SpanDuration: 4.0ms
----SpanID: 46c16d28922ec5f7, SpanName: http:/ticketinfo/queryforstationid, SpanKind: CLIENT, Timestamp:1693988766827000, SpanDuration: 19.0ms
------SpanID: 0416d74300489f61, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693988766832000, SpanDuration: 12.0ms
--------SpanID: 42e1177b595b8147, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693988766836000, SpanDuration: 5.0ms
--------SpanID: 42e1177b595b8147, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693988766839000, SpanDuration: 3.0ms
------SpanID: 0416d74300489f61, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693988766834000, SpanDuration: 9.0ms
--------SpanID: 42e1177b595b8147, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693988766836000, SpanDuration: 5.0ms
--------SpanID: 42e1177b595b8147, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693988766839000, SpanDuration: 3.0ms
----SpanID: 46c16d28922ec5f7, SpanName: http:/ticketinfo/queryforstationid, SpanKind: SERVER, Timestamp:1693988766829000, SpanDuration: 16.0ms
------SpanID: 0416d74300489f61, SpanName: http:/basic/queryforstationid, SpanKind: CLIENT, Timestamp:1693988766832000, SpanDuration: 12.0ms
--------SpanID: 42e1177b595b8147, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693988766836000, SpanDuration: 5.0ms
--------SpanID: 42e1177b595b8147, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693988766839000, SpanDuration: 3.0ms
------SpanID: 0416d74300489f61, SpanName: http:/basic/queryforstationid, SpanKind: SERVER, Timestamp:1693988766834000, SpanDuration: 9.0ms
--------SpanID: 42e1177b595b8147, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693988766836000, SpanDuration: 5.0ms
--------SpanID: 42e1177b595b8147, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693988766839000, SpanDuration: 3.0ms
----SpanID: 36cfa6e2cef57d1c, SpanName: http:/route/querybyid/0b23bd3e-876a-4af3-b920-c50a, SpanKind: CLIENT, Timestamp:1693988766846000, SpanDuration: 6.0ms
----SpanID: 36cfa6e2cef57d1c, SpanName: http:/route/querybyid/0b23bd3e-876a-4af3-b920-c50a, SpanKind: SERVER, Timestamp:1693988766848000, SpanDuration: 4.0ms
----SpanID: 0437c5e686e2bea4, SpanName: http:/ticketinfo/queryfortravel, SpanKind: CLIENT, Timestamp:1693988766854000, SpanDuration: 69.0ms
------SpanID: 14ba8c57994f8186, SpanName: http:/basic/queryfortravel, SpanKind: CLIENT, Timestamp:1693988766858000, SpanDuration: 63.0ms
--------SpanID: 1db8024f38d5547c, SpanName: http:/station/exist, SpanKind: CLIENT, Timestamp:1693988766864000, SpanDuration: 6.0ms
--------SpanID: 1db8024f38d5547c, SpanName: http:/station/exist, SpanKind: SERVER, Timestamp:1693988766867000, SpanDuration: 3.0ms
--------SpanID: 6cee3df673e5167e, SpanName: http:/station/exist, SpanKind: CLIENT, Timestamp:1693988766872000, SpanDuration: 10.0ms
--------SpanID: 6cee3df673e5167e, SpanName: http:/station/exist, SpanKind: SERVER, Timestamp:1693988766875000, SpanDuration: 5.0ms
--------SpanID: 7159b726034af1d6, SpanName: http:/train/retrieve, SpanKind: CLIENT, Timestamp:1693988766882000, SpanDuration: 8.0ms
--------SpanID: 7159b726034af1d6, SpanName: http:/train/retrieve, SpanKind: SERVER, Timestamp:1693988766884000, SpanDuration: 5.0ms
--------SpanID: 51ca8b6a43f1d3c2, SpanName: http:/route/querybyid/0b23bd3e-876a-4af3-b920-c50a, SpanKind: CLIENT, Timestamp:1693988766890000, SpanDuration: 6.0ms
--------SpanID: 51ca8b6a43f1d3c2, SpanName: http:/route/querybyid/0b23bd3e-876a-4af3-b920-c50a, SpanKind: SERVER, Timestamp:1693988766892000, SpanDuration: 4.0ms
--------SpanID: 99a8bc3d035d33e3, SpanName: http:/price/query, SpanKind: CLIENT, Timestamp:1693988766898000, SpanDuration: 8.0ms
--------SpanID: 99a8bc3d035d33e3, SpanName: http:/price/query, SpanKind: SERVER, Timestamp:1693988766899000, SpanDuration: 6.0ms
--------SpanID: 7ebda4cdac6893d7, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693988766907000, SpanDuration: 6.0ms
--------SpanID: 7ebda4cdac6893d7, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693988766909000, SpanDuration: 3.0ms
--------SpanID: 60eae10f269b0459, SpanName: http:/station/queryforid, SpanKind: CLIENT, Timestamp:1693988766914000, SpanDuration: 5.0ms
--------SpanID: 60eae10f269b0459, SpanName: http:/station/queryforid, SpanKind: SERVER, Timestamp:1693988766916000, SpanDuration: 2.0ms
------SpanID: 14ba8c57994f8186, SpanName: http:/basic/queryfortravel, SpanKind: SERVER, Timestamp:1693988766861000, SpanDuration: 59.0ms
--------SpanID: 1db8024f38d5547c, SpanName: http:/station/exist, SpanKind: CLIENT, Timestamp:1693988766864000, SpanDuration: 6.0ms
